gene_id,gene_short_name,cluster_method,cell_group,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
ENSG00000265972,TXNIP,partition,partition 1,0.9982758620689656,14.292155800962687,0.9982758620689656,1,0,1,1
ENSG00000081237,PTPRC,partition,partition 1,0.996551724137931,10.901050772412402,0.996551724137931,1,0,1,1
ENSG00000163041,H3F3A,partition,partition 1,0.9974137931034482,13.00079459636898,0.9974137931034482,1,0,1,1
ENSG00000034510,TMSB10,partition,partition 1,1,44.703676169270715,1,1,0,1,1
ENSG00000114942,EEF1B2,partition,partition 1,0.9913793103448276,12.56520430491376,0.9913793103448276,1,0,1,1
ENSG00000187514,PTMA,partition,partition 1,1,22.552933055972808,1,1,0,1,1
ENSG00000232112,TMA7,partition,partition 1,0.9836206896551725,5.760186934432476,0.9836206896551725,1,0,1,1
ENSG00000269028,MTRNR2L12,partition,partition 1,0.9982758620689656,18.110528843353585,0.9982758620689656,1,0,1,1
ENSG00000145741,BTF3,partition,partition 1,0.9853448275862069,5.658853967796303,0.9853448275862069,1,0,1,1
ENSG00000127184,COX7C,partition,partition 1,0.9905172413793103,6.191528550267359,0.9905172413793103,1,0,1,1
ENSG00000204628,RACK1,partition,partition 1,0.9982758620689656,14.360731777771734,0.9982758620689656,1,0,1,1
ENSG00000206503,HLA-A,partition,partition 1,1,17.014220361031896,1,1,0,1,1
ENSG00000204592,HLA-E,partition,partition 1,0.9991379310344828,9.226015114423163,0.9991379310344828,1,0,1,1
ENSG00000204525,HLA-C,partition,partition 1,0.9991379310344828,14.642644622154867,0.9991379310344828,1,0,1,1
ENSG00000234745,HLA-B,partition,partition 1,0.9991379310344828,20.169282861995274,0.9991379310344828,1,0,1,1
ENSG00000156508,EEF1A1,partition,partition 1,1,64.27144359381661,1,1,0,1,1
ENSG00000075624,ACTB,partition,partition 1,0.9982758620689656,33.88642505137845,0.9982758620689656,1,0,1,1
ENSG00000196683,TOMM7,partition,partition 1,0.9853448275862069,6.13920649796437,0.9853448275862069,1,0,1,1
ENSG00000156467,UQCRB,partition,partition 1,0.9818965517241379,6.140502203207975,0.9818965517241379,1,0,1,1
ENSG00000104529,EEF1D,partition,partition 1,0.9939655172413793,6.825411654136986,0.9939655172413793,1,0,1,1
ENSG00000167996,FTH1,partition,partition 1,0.9982758620689656,24.217381312658006,0.9982758620689656,1,0,1,1
